uniprot_id,protein_name,length,disorder_content
Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",425,0.007
Q6PD74,Alpha- and gamma-adaptin-binding protein p34,315,0.235
Q9Y478,5'-AMP-activated protein kinase subunit beta-1,270,0.437
O43741,5'-AMP-activated protein kinase subunit beta-2,272,0.485
P54619,5'-AMP-activated protein kinase subunit gamma-1,331,0.066
Q2M2I8,AP2-associated protein kinase 1,961,0.661
Q9UGJ0,5'-AMP-activated protein kinase subunit gamma-2,569,0.441
Q9UGI9,5'-AMP-activated protein kinase subunit gamma-3,489,0.346
Q9H7C9,Mth938 domain-containing protein,122,0.0
Q13685,Angio-associated migratory cell protein,434,0.203
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1,559,0.261
P54646,5'-AMP-activated protein kinase catalytic subunit alpha-2,552,0.255
Q9Y312,Protein AAR2 homolog,384,0.099
Q4LEZ3,Alanine and arginine-rich domain-containing protein,155,0.729
P86434,Putative uncharacterized protein ADORA2A-AS1,159,0.358
Q9BTE6,Alanyl-tRNA editing protein Aarsd1,412,0.0
Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",926,0.021
Q8NHS2,"Putative aspartate aminotransferase, cytoplasmic 2",421,0.083
P17174,"Aspartate aminotransferase, cytoplasmic",413,0.041
Q9NY61,Protein AATF,560,0.636
P00505,"Aspartate aminotransferase, mitochondrial",430,0.107
Q7Z5M8,Protein ABHD12B,362,0.083
Q96GS6,Alpha/beta hydrolase domain-containing protein 17A,310,0.132
Q5VST6,Alpha/beta hydrolase domain-containing protein 17B,288,0.021
Q6PCB6,Alpha/beta hydrolase domain-containing protein 17C,329,0.167
Q7Z5R6,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,666,0.477
P31941,DNA dC->dU-editing enzyme APOBEC-3A,199,0.05
Q9UH17,DNA dC->dU-editing enzyme APOBEC-3B,382,0.0
Q9NRW3,DNA dC->dU-editing enzyme APOBEC-3C,190,0.0
Q96AK3,DNA dC->dU-editing enzyme APOBEC-3D,386,0.003
Q8IUX4,DNA dC->dU-editing enzyme APOBEC-3F,373,0.005
Q9HC16,DNA dC->dU-editing enzyme APOBEC-3G,384,0.005
Q6NTF7,DNA dC->dU-editing enzyme APOBEC-3H,200,0.09
O95477,Phospholipid-transporting ATPase ABCA1,2261,0.075
Q99758,Phospholipid-transporting ATPase ABCA3,1704,0.037
Q9BZC7,ATP-binding cassette sub-family A member 2,2435,0.163
P78363,Retinal-specific phospholipid-transporting ATPase ABCA4,2273,0.075
Q8N139,ATP-binding cassette sub-family A member 6,1617,0.046
Q8WWZ7,Cholesterol transporter ABCA5,1642,0.057
O94911,ABC-type organic anion transporter ABCA8,1621,0.041
Q8IUA7,ATP-binding cassette sub-family A member 9,1624,0.042
Q86UQ4,ATP-binding cassette sub-family A member 13,5058,
Q8WWZ4,ATP-binding cassette sub-family A member 10,1543,0.048
Q8IZY2,Phospholipid-transporting ATPase ABCA7,2146,0.109
Q2M3G0,ATP-binding cassette sub-family B member 5,1257,0.065
Q86UK0,Glucosylceramide transporter ABCA12,2595,0.16
Q9NP58,ATP-binding cassette sub-family B member 6,842,0.072
O75027,"Iron-sulfur clusters transporter ABCB7, mitochondrial",752,0.174
Q9NP78,ABC-type oligopeptide transporter ABCB9,766,0.069
Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial",738,0.22
O95342,Bile salt export pump,1321,0.07
Q09428,ATP-binding cassette sub-family C member 8,1581,0.08
P33897,ATP-binding cassette sub-family D member 1,745,0.161
Q9UBJ2,ATP-binding cassette sub-family D member 2,740,0.177
O60706,ATP-binding cassette sub-family C member 9,1549,0.063
P28288,ATP-binding cassette sub-family D member 3,659,0.114
O14678,Lysosomal cobalamin transporter ABCD4,606,0.051
P61221,ATP-binding cassette sub-family E member 1,599,0.0
Q8NE71,ATP-binding cassette sub-family F member 1,845,0.372
Q9UG63,ATP-binding cassette sub-family F member 2,623,0.101
Q9NUQ8,ATP-binding cassette sub-family F member 3,709,0.127
P45844,ATP-binding cassette sub-family G member 1,678,0.149
Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,655,0.099
Q9H172,ATP-binding cassette sub-family G member 4,646,0.115
Q9H222,ATP-binding cassette sub-family G member 5,651,0.048
Q9H221,ATP-binding cassette sub-family G member 8,673,0.1
Q8N2K0,Lysophosphatidylserine lipase ABHD12,398,0.206
Q0P651,Protein ABHD18,414,0.162
P41238,C->U-editing enzyme APOBEC-1,236,0.021
Q9Y235,C->U-editing enzyme APOBEC-2,224,0.174
Q8WW27,Putative C->U-editing enzyme APOBEC-4,367,0.332
Q6UXT9,Protein ABHD15,468,0.167
Q96SE0,Protein ABHD1,405,0.069
P08910,Monoacylglycerol lipase ABHD2,425,0.068
Q8WU67,Phospholipase ABHD3,409,0.049
Q8TB40,(Lyso)-N-acylphosphatidylethanolamine lipase,342,0.056
Q8WTS1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,349,0.083
Q9BV23,Monoacylglycerol lipase ABHD6,337,0.039
Q9NUJ1,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",306,0.176
Q96I13,Protein ABHD8,439,0.241
Q8NFV4,sn-1-specific diacylglycerol lipase ABHD11,306,0.171
Q7L211,Protein ABHD13,337,0.128
Q9BUJ0,Protein ABHD14A,271,0.229
Q96IU4,Putative protein-lysine deacylase ABHD14B,210,0.0
O95870,Phosphatidylserine lipase ABHD16A,558,0.082
Q9H3Z7,Protein ABHD16B,469,0.102
Q8IZP0,Abl interactor 1,508,0.661
Q9NYB9,Abl interactor 2,513,0.665
Q9P2A4,ABI gene family member 3,366,0.568
Q9NX38,Protein Abitram,181,0.088
P00519,Tyrosine-protein kinase ABL1,1130,0.499
P42684,Tyrosine-protein kinase ABL2,1182,0.525
Q6H8Q1,Actin-binding LIM protein 2,611,0.529
O14639,Actin-binding LIM protein 1,778,0.632
O94929,Actin-binding LIM protein 3,683,0.545
Q9P1F3,Costars family protein ABRACL,81,0.0
Q8N0Z2,Actin-binding Rho-activating protein,381,0.675
Q6UWZ7,BRCA1-A complex subunit Abraxas 1,409,0.352
Q15018,BRISC complex subunit Abraxas 2,415,0.467
Q12979,Active breakpoint cluster region-related protein,859,0.112
Q9ULW3,Activator of basal transcription 1,272,0.46
Q969K4,Ankyrin repeat and BTB/POZ domain-containing protein 1,478,0.0
Q8N961,Ankyrin repeat and BTB/POZ domain-containing protein 2,1025,0.132
A6QL63,Ankyrin repeat and BTB/POZ domain-containing protein 3,1104,0.219
Q13085,Acetyl-CoA carboxylase 1,2346,0.071
Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial",415,0.084
Q9H845,"Complex I assembly factor ACAD9, mitochondrial",621,0.076
P28330,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",430,0.079
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",421,0.1
P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",412,0.07
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",655,0.115
Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",778,0.192
Q15027,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",740,0.146
O00400,Acetyl-coenzyme A transporter 1,549,0.124
Q96P50,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",834,0.26
O00763,Acetyl-CoA carboxylase 2,2458,0.126
Q8NC06,Acyl-CoA-binding domain-containing protein 4,268,0.519
Q5T8D3,Acyl-CoA-binding domain-containing protein 5,534,0.787
Q9BR61,Acyl-CoA-binding domain-containing protein 6,282,0.177
Q8N6N7,Acyl-CoA-binding domain-containing protein 7,88,0.0
Q5FVE4,Long-chain-fatty-acid--CoA ligase ACSBG2,666,0.038
Q96GR2,Long-chain-fatty-acid--CoA ligase ACSBG1,724,0.076
P07108,Acyl-CoA-binding protein,87,0.0
Q6JQN1,Acyl-CoA dehydrogenase family member 10,1059,0.08
Q709F0,Acyl-CoA dehydrogenase family member 11,780,0.027
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",432,0.125
Q96AP0,Adrenocortical dysplasia protein homolog,458,0.607
Q9BYF1,Angiotensin-converting enzyme 2,805,0.092
Q8TDN7,Alkaline ceramidase 1,264,0.015
Q5QJU3,Alkaline ceramidase 2,275,0.047
Q9NUN7,Alkaline ceramidase 3,267,0.004
P22303,Acetylcholinesterase,614,0.085
P12821,Angiotensin-converting enzyme,1306,0.058
Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10,450,0.189
Q15822,Neuronal acetylcholine receptor subunit alpha-2,529,0.289
P32297,Neuronal acetylcholine receptor subunit alpha-3,505,0.238
P30532,Neuronal acetylcholine receptor subunit alpha-5,468,0.194
P43681,Neuronal acetylcholine receptor subunit alpha-4,627,0.383
Q15825,Neuronal acetylcholine receptor subunit alpha-6,494,0.247
P36544,Neuronal acetylcholine receptor subunit alpha-7,502,0.239
Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9,479,0.215
P02708,Acetylcholine receptor subunit alpha,457,0.185
P17787,Neuronal acetylcholine receptor subunit beta-2,502,0.225
Q05901,Neuronal acetylcholine receptor subunit beta-3,458,0.164
P30926,Neuronal acetylcholine receptor subunit beta-4,498,0.247
P11230,Acetylcholine receptor subunit beta,501,0.208
Q07001,Acetylcholine receptor subunit delta,517,0.195
Q04844,Acetylcholine receptor subunit epsilon,493,0.199
P07510,Acetylcholine receptor subunit gamma,517,0.215
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,1341,0.823
Q07912,Activated CDC42 kinase 1,1038,0.496
Q6P4H8,ATP synthase subunit C lysine N-methyltransferase,233,0.322
Q16570,Atypical chemokine receptor 1,336,0.205
P25106,Atypical chemokine receptor 3,362,0.127
Q9NPB9,Atypical chemokine receptor 4,350,0.166
O00590,Atypical chemokine receptor 2,384,0.237
Q5JWF8,Actin-like protein 10,245,0.0
O96019,Actin-like protein 6A,429,0.049
O94805,Actin-like protein 6B,426,0.047
Q9Y615,Actin-like protein 7A,435,0.159
Q9Y614,Actin-like protein 7B,415,0.113
P11229,Muscarinic acetylcholine receptor M1,460,0.363
P08172,Muscarinic acetylcholine receptor M2,466,0.388
P53396,ATP-citrate synthase,1101,0.074
P20309,Muscarinic acetylcholine receptor M3,590,0.466
P08173,Muscarinic acetylcholine receptor M4,479,0.324
P08912,Muscarinic acetylcholine receptor M5,532,0.44
Q8TDX5,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,336,0.0
Q8WXI4,Acyl-coenzyme A thioesterase 11,607,0.132
Q8WYK0,Acetyl-coenzyme A thioesterase,555,0.014
Q9NPJ3,Acyl-coenzyme A thioesterase 13,140,0.0
P21399,Cytoplasmic aconitate hydratase,889,0.0
Q86TX2,Acyl-coenzyme A thioesterase 1,421,0.012
P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial",483,0.145
Q99798,"Aconitate hydratase, mitochondrial",780,0.038
Q8N9L9,Peroxisomal succinyl-coenzyme A thioesterase,421,0.017
Q3I5F7,Acyl-coenzyme A thioesterase 6,421,0.053
O14734,Acyl-coenzyme A thioesterase 8,319,0.075
Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",439,0.098
Q15067,Peroxisomal acyl-coenzyme A oxidase 1,660,0.021
Q99424,Peroxisomal acyl-coenzyme A oxidase 2,681,0.021
O15254,Peroxisomal acyl-coenzyme A oxidase 3,700,0.041
Q9NUZ1,Acyl-coenzyme A oxidase-like protein,547,0.0
Q6ZNF0,Acid phosphatase type 7,438,0.059
P13798,Acylamino-acid-releasing enzyme,732,0.031
O14561,"Acyl carrier protein, mitochondrial",156,0.468
Q8NEB7,Acrosin-binding protein,543,0.37
P10323,Acrosin,421,0.337
Q08AH3,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",577,0.057
Q68CK6,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial",577,0.057
Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",689,0.073
Q9NR19,"Acetyl-coenzyme A synthetase, cytoplasmic",701,0.067
Q96CM8,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",615,0.081
Q4G176,"Malonate--CoA ligase ACSF3, mitochondrial",576,0.066
Q4L235,Beta-alanine-activating enzyme,1098,0.119
P33121,Long-chain-fatty-acid--CoA ligase 1,698,0.05
O95573,Fatty acid CoA ligase Acsl3,720,0.024
O60488,Long-chain-fatty-acid--CoA ligase 4,711,0.014
Q9ULC5,Long-chain-fatty-acid--CoA ligase 5,683,0.031
Q9UKU0,Long-chain-fatty-acid--CoA ligase 6,697,0.036
Q08AH1,"Acyl-coenzyme A synthetase ACSM1, mitochondrial",577,0.043
Q53FZ2,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",586,0.056
P0C7M7,"Acyl-coenzyme A synthetase ACSM4, mitochondrial",580,0.053
Q6NUN0,"Acyl-coenzyme A synthetase ACSM5, mitochondrial",579,0.05
Q6P461,"Acyl-coenzyme A synthetase ACSM6, mitochondrial",480,0.087
Q9H6R3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",686,0.086
P62736,"Actin, aortic smooth muscle",377,0.0
Q562R1,Beta-actin-like protein 2,376,0.0
Q9BYX7,Putative beta-actin-like protein 3,375,0.0
P60709,"Actin, cytoplasmic 1",375,0.0
P68032,"Actin, alpha cardiac muscle 1",377,0.0
P63261,"Actin, cytoplasmic 2",375,0.0
Q01718,Adrenocorticotropic hormone receptor,297,0.0
P63267,"Actin, gamma-enteric smooth muscle",376,0.0
Q9H568,Actin-like protein 8,366,0.0
Q8TC94,Actin-like protein 9,416,0.103
Q5BKX5,Actin maturation protease,351,0.225
P12814,Alpha-actinin-1,892,0.027
P35609,Alpha-actinin-2,894,0.036
Q08043,Alpha-actinin-3,901,0.044
O43707,Alpha-actinin-4,911,0.046
P68133,"Actin, alpha skeletal muscle",377,0.0
Q8TDG2,Actin-related protein T1,376,0.0
Q8TDY3,Actin-related protein T2,377,0.0
Q9BYD9,Actin-related protein T3,372,0.0
P42025,Beta-centractin,376,0.0
P61163,Alpha-centractin,376,0.0
P36896,Activin receptor type-1B,505,0.194
Q8NER5,Activin receptor type-1C,493,0.158
P37023,Serine/threonine-protein kinase receptor R3,503,0.284
Q04771,Activin receptor type-1,509,0.22
Q03154,Aminoacylase-1,408,0.015
P45381,Aspartoacylase,313,0.0
Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming),319,0.028
P07311,Acylphosphatase-1,99,0.0
P14621,Acylphosphatase-2,99,0.0
Q9Y3Q7,Disintegrin and metalloproteinase domain-containing protein 18,739,0.154
O75078,Disintegrin and metalloproteinase domain-containing protein 11,769,0.176
P35348,Alpha-1A adrenergic receptor,466,0.378
O43184,Disintegrin and metalloproteinase domain-containing protein 12,909,0.284
O14672,Disintegrin and metalloproteinase domain-containing protein 10,748,0.132
O43506,Disintegrin and metalloproteinase domain-containing protein 20,726,0.135
P35368,Alpha-1B adrenergic receptor,520,0.437
Q13444,Disintegrin and metalloproteinase domain-containing protein 15,863,0.283
Q9UKJ8,Disintegrin and metalloproteinase domain-containing protein 21,722,0.109
Q9H013,Disintegrin and metalloproteinase domain-containing protein 19,955,0.334
P78536,Disintegrin and metalloproteinase domain-containing protein 17,824,0.26
P25100,Alpha-1D adrenergic receptor,572,0.497
Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,906,0.296
O75077,Disintegrin and metalloproteinase domain-containing protein 23,832,0.231
P08913,Alpha-2A adrenergic receptor,465,0.394
Q9UKQ2,Disintegrin and metalloproteinase domain-containing protein 28,775,0.21
Q9UKF5,Disintegrin and metalloproteinase domain-containing protein 29,820,0.228
P18089,Alpha-2B adrenergic receptor,450,0.378
Q9NZK5,Adenosine deaminase 2,511,0.065
P18825,Alpha-2C adrenergic receptor,462,0.344
Q9UKF2,Disintegrin and metalloproteinase domain-containing protein 30,790,0.168
Q8TC27,Disintegrin and metalloproteinase domain-containing protein 32,787,0.248
Q9BZ11,Disintegrin and metalloproteinase domain-containing protein 33,813,0.202
Q96M93,Adenosine deaminase domain-containing protein 1,576,0.21
Q8NCV1,Adenosine deaminase domain-containing protein 2,583,0.209
Q6DHV7,Adenosine deaminase-like protein,355,0.028
Q99965,Disintegrin and metalloproteinase domain-containing protein 2,735,0.165
Q6NVV9,Putative disintegrin and metalloproteinase domain-containing protein 5,412,0.272
Q9H2U9,Disintegrin and metalloproteinase domain-containing protein 7,754,0.237
P78325,Disintegrin and metalloproteinase domain-containing protein 8,824,0.268
O75689,Arf-GAP with dual PH domain-containing protein 1,374,0.0
Q9NPF8,Arf-GAP with dual PH domain-containing protein 2,381,0.005
Q13443,Disintegrin and metalloproteinase domain-containing protein 9,819,0.201
A8MUL3,Putative uncharacterized protein ADARB2-AS1,147,0.503
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",658,0.119
Q9BUB4,tRNA-specific adenosine deaminase 1,502,0.177
Q7Z6V5,tRNA-specific adenosine deaminase 2,191,0.188
Q96EY9,Probable inactive tRNA-specific adenosine deaminase-like protein 3,351,0.103
P00813,Adenosine deaminase,363,0.022
Q86TW2,AarF domain-containing protein kinase 1,530,0.057
Q7Z695,Uncharacterized aarF domain-containing protein kinase 2,626,0.286
Q3MIX3,Uncharacterized aarF domain-containing protein kinase 5,580,0.1
Q6P093,Arylacetamide deacetylase-like 2,401,0.025
Q5VUY0,Arylacetamide deacetylase-like 3,407,0.029
Q5VUY2,Arylacetamide deacetylase-like 4,407,0.025
Q08462,Adenylate cyclase type 2,1091,0.088
Q08828,Adenylate cyclase type 1,1119,0.134
O60266,Adenylate cyclase type 3,1144,0.13
Q8NFM4,Adenylate cyclase type 4,1077,0.089
O43306,Adenylate cyclase type 6,1168,0.129
O95622,Adenylate cyclase type 5,1261,0.208
P51828,Adenylate cyclase type 7,1080,0.096
P40145,Adenylate cyclase type 8,1251,0.177
Q96PN6,Adenylate cyclase type 10,1610,0.025
O60503,Adenylate cyclase type 9,1353,0.271
P35611,Alpha-adducin,737,0.583
P35612,Beta-adducin,726,0.57
Q9UEY8,Gamma-adducin,706,0.52
O15204,ADAM DEC1,470,0.211
P07327,Alcohol dehydrogenase 1A,375,0.0
P00325,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,375,0.0
P00326,Alcohol dehydrogenase 1C,375,0.0
Q8N7X0,Androglobin,1667,0.411
P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4,380,0.0
P28332,Alcohol dehydrogenase 6,368,0.0
P40394,All-trans-retinol dehydrogenase [NAD(+)] ADH7,386,0.036
P11766,Alcohol dehydrogenase class-3,374,0.0
Q0VDE8,Adipogenin,80,1.0
Q5T7M4,Adipolin,302,0.487
Q15848,Adiponectin,244,0.451
Q15847,Adipogenesis regulatory factor,76,0.974
P55263,Adenosine kinase,362,0.047
Q9Y2D8,Afadin- and alpha-actinin-binding protein,614,0.697
C9JUS6,Putative adrenomedullin-5-like protein,153,0.915
Q7Z4H4,Protein ADM2,148,1.0
P35318,Pro-adrenomedullin,185,0.989
Q6IQ32,Activity-dependent neuroprotector homeobox protein 2,1131,0.603
Q9BRR6,ADP-dependent glucokinase,497,0.095
Q9H2P0,Activity-dependent neuroprotector homeobox protein,1102,0.649
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,309,0.087
P54922,ADP-ribosylhydrolase ARH1,357,0.0
Q3LIE5,Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase,342,0.058
Q9NX46,ADP-ribosylhydrolase ARH3,363,0.039
P08588,Beta-1 adrenergic receptor,477,0.403
P07550,Beta-2 adrenergic receptor,413,0.305
P13945,Beta-3 adrenergic receptor,408,0.316
Q16186,Proteasomal ubiquitin receptor ADRM1,407,0.543
P22570,"NADPH:adrenodoxin oxidoreductase, mitochondrial",491,0.067
Q9GZN8,Adipose-secreted signaling protein,174,0.333
P12235,ADP/ATP translocase 1,298,0.01
P05141,ADP/ATP translocase 2,298,0.0
P12236,ADP/ATP translocase 3,298,0.0
Q9H0C2,ADP/ATP translocase 4,315,0.086
Q96IZ2,Androgen-dependent TFPI-regulating protein,230,0.048
P10109,"Adrenodoxin, mitochondrial",184,0.397
Q6ZN18,Zinc finger protein AEBP2,517,0.652
Q8IUX7,Adipocyte enhancer-binding protein 1,1158,0.459
Q96SZ5,2-aminoethanethiol dioxygenase,270,0.074
Q8WTP8,Apoptosis-enhancing nuclease,325,0.382
Q6UXC1,Apical endosomal glycoprotein,1216,0.112
Q13015,Protein AF1q,90,1.0
P55197,Protein AF-10,1068,0.808
Q8TED9,Actin filament-associated protein 1-like 1,768,0.539
Q8N4X5,Actin filament-associated protein 1-like 2,818,0.548
P55198,Protein AF-17,1093,0.78
P42568,Protein AF-9,568,0.636
P43652,Afamin,599,0.042
Q9Y6Z5,Putative uncharacterized protein AFDN-DT,254,0.957
Q8N556,Actin filament-associated protein 1,730,0.521
P55196,Afadin,1824,0.412
Q8WV93,AFG1-like ATPase,481,0.162
P51825,AF4/FMR2 family member 1,1210,0.841
P51816,AF4/FMR2 family member 2,1311,0.819
